5 Minutes,Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
2016-03-01 00:00:00,17,69.1,4,0
2016-03-01 00:05:00,11,67.7,4,0
2016-03-01 00:10:00,6,69.5,4,0
2016-03-01 00:15:00,10,69.8,4,0
2016-03-01 00:20:00,13,70.4,4,0
2016-03-01 00:25:00,14,68.7,4,0
2016-03-01 00:30:00,5,68.5,4,0
2016-03-01 00:35:00,5,67.2,4,0
2016-03-01 00:40:00,5,68.5,4,0
2016-03-01 00:45:00,5,68.5,4,0
2016-03-01 00:50:00,7,67.5,4,0
2016-03-01 00:55:00,8,71.3,4,0
2016-03-01 01:00:00,5,70.8,4,0
2016-03-01 01:05:00,6,69.0,4,0
2016-03-01 01:10:00,6,70.2,4,0
2016-03-01 01:15:00,5,71.6,4,0
2016-03-01 01:20:00,7,69.7,4,0
2016-03-01 01:25:00,6,70.1,4,0
2016-03-01 01:30:00,2,67.4,4,0
2016-03-01 01:35:00,3,69.8,4,0
2016-03-01 01:40:00,4,66.9,4,0
2016-03-01 01:45:00,3,68.2,4,0
2016-03-01 01:50:00,6,67.3,4,0
2016-03-01 01:55:00,2,70.9,4,0
2016-03-01 02:00:00,4,65.2,4,0
2016-03-01 02:05:00,4,68.1,4,0
2016-03-01 02:10:00,2,71.0,4,0
2016-03-01 02:15:00,3,68.5,4,0
2016-03-01 02:20:00,4,69.8,4,0
2016-03-01 02:25:00,2,71.0,4,0
2016-03-01 02:30:00,3,69.8,4,0
2016-03-01 02:35:00,4,71.0,4,0
2016-03-01 02:40:00,6,73.9,4,0
2016-03-01 02:45:00,3,64.3,4,0
2016-03-01 02:50:00,10,70.9,4,0
2016-03-01 02:55:00,4,68.2,4,0
2016-03-01 03:00:00,8,71.5,4,0
2016-03-01 03:05:00,3,65.8,4,0
2016-03-01 03:10:00,4,68.0,4,0
2016-03-01 03:15:00,9,67.9,4,0
2016-03-01 03:20:00,6,71.2,4,0
2016-03-01 03:25:00,4,68.0,4,0
2016-03-01 03:30:00,8,64.7,4,0
2016-03-01 03:35:00,8,68.9,4,0
2016-03-01 03:40:00,9,69.3,4,0
2016-03-01 03:45:00,10,70.0,4,0
2016-03-01 03:50:00,11,71.5,4,0
2016-03-01 03:55:00,8,66.8,4,0
2016-03-01 04:00:00,10,68.1,4,0
2016-03-01 04:05:00,8,67.6,4,0
2016-03-01 04:10:00,11,68.6,4,0
2016-03-01 04:15:00,8,70.1,4,0
2016-03-01 04:20:00,14,67.5,4,0
2016-03-01 04:25:00,20,69.7,4,0
2016-03-01 04:30:00,21,69.5,4,0
2016-03-01 04:35:00,26,69.7,4,0
2016-03-01 04:40:00,37,69.0,4,0
2016-03-01 04:45:00,46,69.2,4,0
2016-03-01 04:50:00,42,70.5,4,0
2016-03-01 04:55:00,43,69.6,4,0
2016-03-01 05:00:00,40,69.7,4,0
2016-03-01 05:05:00,52,70.5,4,0
2016-03-01 05:10:00,56,70.0,4,0
2016-03-01 05:15:00,71,70.3,4,0
2016-03-01 05:20:00,95,69.5,4,0
2016-03-01 05:25:00,101,69.5,4,100
2016-03-01 05:30:00,50,68.3,4,100
2016-03-01 05:35:00,140,69.3,4,0
2016-03-01 05:40:00,164,69.3,4,0
2016-03-01 05:45:00,184,69.3,4,0
2016-03-01 05:50:00,180,69.8,4,0
2016-03-01 05:55:00,160,69.0,4,0
2016-03-01 06:00:00,226,67.7,4,100
2016-03-01 06:05:00,196,66.4,4,100
2016-03-01 06:10:00,247,66.8,4,100
2016-03-01 06:15:00,262,67.3,4,100
2016-03-01 06:20:00,285,68.1,4,100
2016-03-01 06:25:00,323,67.1,4,100
2016-03-01 06:30:00,377,66.3,4,100
2016-03-01 06:35:00,373,66.7,4,100
